Category,Piece,Synonyms / Related,Typical Dimensions,H × W × D (example),Description
Case Pieces & Storage,Sideboard,"Buffet*, Credenza*",60–72″W × 18–20″D × 34–36″H,35 × 66 × 19″,Long low case piece with drawers and cabinet doors; used in dining rooms for linens and serving ware.
Case Pieces & Storage,Buffet,"Sideboard*, Credenza*",60–72″W × 18–20″D × 34–36″H,35 × 66 × 19″,Effectively synonymous with sideboard in modern use. Historically a tiered serving piece.
Case Pieces & Storage,Credenza,"Sideboard*, Buffet*",60–72″W × 18″D × 30″H,30 × 66 × 18″,Originally an Italian Renaissance side table. Today nearly synonymous with sideboard; often lower and associated with office/media use.
Case Pieces & Storage,Hutch,"China hutch, Welsh dresser*",42–60″W × 16″D × 72–84″H,78 × 54 × 16″,Two-part piece: lower cabinet with drawers and doors topped by an open or glazed upper cabinet for display.
Case Pieces & Storage,China cabinet,"China hutch, Display cabinet*",36–54″W × 16″D × 72–84″H,78 × 48 × 16″,Tall glazed cabinet with lower storage base; designed to display and store china and glassware.
Case Pieces & Storage,Display cabinet,"China cabinet*, Curio cabinet*",30–48″W × 14″D × 70–80″H,76 × 40 × 14″,Glass-fronted cabinet for displaying collectibles or china. Overlaps with china cabinet and curio cabinet.
Case Pieces & Storage,Curio cabinet,"Display cabinet*, Vitrine*",24–36″W × 14″D × 60–72″H,68 × 30 × 14″,Glass-sided cabinet for displaying small collectibles. Frequently in corner or pedestal variants.
Case Pieces & Storage,Vitrine,"Curio cabinet*, Display cabinet*",24–36″W × 14″D × 60–72″H,68 × 30 × 14″,French term for a glass display case; functionally equivalent to a curio cabinet. May be wall-mounted or freestanding.
Case Pieces & Storage,Breakfront,—,72–96″W × 16″D × 84–96″H,90 × 84 × 16″,Large case piece whose center section projects forward. Glazed upper doors; solid lower cabinet doors and drawers.
Case Pieces & Storage,Secretary desk,"Escritoire, Bureau*, Secrétaire à abattant*",30–36″W × 18″D × 60–80″H,72 × 32 × 18″,Desk-and-cabinet combination with fall-front writing surface concealing pigeonholes; glazed upper doors; drawers below.
Case Pieces & Storage,Secrétaire à abattant,"Secretary desk*, Fall-front secretary",30–36″W × 16″D × 56–72″H,65 × 34 × 16″,French fall-front secretary. Vertical cabinet with drop-down writing leaf revealing interior drawers and pigeonholes.
Case Pieces & Storage,Escritoire,"Secretary desk*, Bureau*",28–36″W × 18″D × 40–50″H,45 × 32 × 18″,Small writing desk with fitted interior; often with fall front and drawers below. More compact than a full secretary.
Case Pieces & Storage,Bureau,"Secretary desk*, Chest of drawers*",36–48″W × 18″D × 50–72″H,60 × 42 × 18″,Ambiguous: in the US often means a dresser; in Europe often a writing desk with drawers.
Case Pieces & Storage,Roll-top desk,Cylinder desk*,48–60″W × 28″D × 48″H,48 × 54 × 28″,Writing desk with a tambour cover that rolls up to reveal a fitted interior with small drawers. Pedestal drawers below.
Case Pieces & Storage,Cylinder desk,Roll-top desk*,48–60″W × 28″D × 48″H,48 × 54 × 28″,Similar to roll-top but with a quarter-round solid cover that slides back. Fitted interior; pedestal drawers below.
Wardrobes & Armoires,Armoire,"Wardrobe*, Schrank*, Armadio*",40–54″W × 22″D × 72–84″H,80 × 48 × 22″,Large freestanding cabinet with two doors enclosing hanging space and shelves; often a base drawer. French origin.
Wardrobes & Armoires,Wardrobe,Armoire*,40–72″W × 22″D × 72–84″H,80 × 54 × 22″,Freestanding cabinet for clothing with hanging rail and shelves. 'Wardrobe' is the English term; 'armoire' the French equivalent.
Wardrobes & Armoires,Chifforobe,Chiffonier + wardrobe hybrid,36–48″W × 20″D × 60–72″H,68 × 42 × 20″,Hybrid combining a wardrobe section with hanging space alongside a column of drawers. Name is a portmanteau of chiffonier and wardrobe.
Wardrobes & Armoires,Chiffonier,"Semainier*, Lingerie chest*",20–28″W × 18″D × 48–60″H,54 × 24 × 18″,Tall narrow chest with many small drawers for handkerchiefs and lace. May include a mirror or small door above.
Wardrobes & Armoires,Tallboy,"Highboy*, Chest-on-chest*",36–44″W × 20″D × 60–72″H,66 × 40 × 20″,British term for a tall chest of drawers in two sections. Equivalent to highboy in American usage.
Wardrobes & Armoires,Highboy,"Tallboy*, Chest-on-chest*",36–44″W × 22″D × 60–84″H,72 × 40 × 22″,American term for a tall chest on a stand (lowboy base). Typically two-part with decorative cornice; a formal antique form.
Wardrobes & Armoires,Lowboy,Dressing table*,30–36″W × 20″D × 28–32″H,30 × 32 × 20″,The lower stand section of a highboy when used independently; a low table with one or more shallow drawers.
Wardrobes & Armoires,Chest-on-chest,"Tallboy*, Highboy*",36–44″W × 20″D × 60–72″H,66 × 40 × 20″,Two chests of drawers stacked vertically. Distinct from highboy in that it has no leg stand.
Wardrobes & Armoires,Linen press,Armoire*,40–54″W × 22″D × 72–80″H,76 × 48 × 22″,Wardrobe-style cabinet with upper doors concealing shelves for folded linens (not a hanging rail); drawers in lower section.
Wardrobes & Armoires,Kas,"Kast, Schrank*",60–72″W × 26″D × 72–84″H,80 × 66 × 26″,Massive Dutch-American wardrobe with large paneled doors and heavy cornice. Drawers below main cabinet. 17th–18th c. New York/New Jersey.
Wardrobes & Armoires,Schrank,"Kas*, Armoire*",54–72″W × 24″D × 72–84″H,80 × 64 × 24″,Germanic large wardrobe cabinet similar in scale to the kas. Often with carved panels; large doors over shelves/hanging space with drawer base.
Wardrobes & Armoires,Bonnetière,—,22–28″W × 16″D × 72–84″H,80 × 24 × 16″,Narrow French single-door wardrobe; tall enough to store a bonnet. A slender armoire variant suited to small spaces.
Wardrobes & Armoires,Armadio,Armoire*,48–72″W × 24″D × 80–90″H,86 × 60 × 24″,Italian term for a large wardrobe; functionally identical to the armoire, often more architectural in detailing.
Bedroom,Dresser,"Bureau*, Double dresser*",50–66″W × 18″D × 30–36″H,33 × 58 × 18″,Wide low chest of drawers for bedroom use; typically 3–4 rows. Often paired with a mirror mounted above.
Bedroom,Double dresser,Dresser*,58–68″W × 18″D × 30–36″H,33 × 64 × 18″,Wider dresser with drawers in two columns. The most common dresser format today.
Bedroom,Triple dresser,Dresser*,72–84″W × 18″D × 30–36″H,33 × 78 × 18″,Extra-wide dresser with drawers in three columns; provides maximum horizontal bedroom storage.
Bedroom,Bachelor's chest,—,30–36″W × 18″D × 30–36″H,33 × 32 × 18″,Compact chest of drawers; typically 3–4 drawers wide and 2–3 drawers tall. Scaled for small spaces.
Bedroom,Lingerie chest,"Semainier*, Chiffonier*",18–24″W × 18″D × 48–60″H,54 × 20 × 18″,Tall narrow chest with many shallow drawers for folded delicates. Narrower than a standard chest of drawers.
Bedroom,Gentleman's chest,—,48–60″W × 18″D × 48–60″H,54 × 54 × 18″,Combination chest with a wardrobe section with hanging rod behind doors on one side and a column of drawers on the other.
Bedroom,Semainier,"Lingerie chest*, Chiffonier*",16–22″W × 16″D × 48–60″H,54 × 18 × 16″,French chest with exactly seven drawers (one per day of the week). Tall and narrow; for folded garments.
Bedroom,Nightstand,"Bedside table, Bedside cabinet*, Chevet*",18–24″W × 16″D × 24–30″H,26 × 22 × 16″,Small table placed beside a bed with one or two drawers and sometimes a lower shelf or cabinet door.
Bedroom,Bedside cabinet,"Nightstand*, Chevet*",16–24″W × 14″D × 24–30″H,26 × 20 × 16″,Small cabinet for bedside use; often with a door rather than a drawer. Functionally equivalent to a nightstand.
Bedroom,Chevet,"Nightstand*, Bedside cabinet*",16–22″W × 14″D × 24–28″H,26 × 18 × 14″,French term for a bedside table. May have a drawer or cabinet door. Synonym of nightstand in modern use.
Bedroom,Commode,Chest of drawers*,28–36″W × 18″D × 32–38″H,35 × 32 × 18″,In antique/French furniture: a low wide chest of drawers; often ornately decorated with curved fronts and gilt hardware.
Bedroom,Chest of drawers,"Dresser*, Bureau*",30–48″W × 18″D × 42–54″H,48 × 36 × 18″,Freestanding upright chest with multiple stacked drawers and no doors. The generic term; 'dresser' implies bedroom use.
Kitchen & Dining,Hoosier cabinet,Kitchen cabinet*,40–42″W × 28″D × 68–72″H,70 × 41 × 28″,Early 20th-century American freestanding kitchen unit with upper cabinet (flour bin/spice storage) and lower cabinet with drawers.
Kitchen & Dining,Welsh dresser,"Kitchen dresser*, Dutch dresser*, Hutch*",48–60″W × 18″D × 72–84″H,78 × 54 × 18″,British two-part kitchen piece with open plate-display shelves above and drawers/cabinet doors below. Equivalent to a hutch.
Kitchen & Dining,Dutch dresser,"Welsh dresser*, Kitchen dresser*",48–60″W × 18″D × 72–84″H,78 × 54 × 18″,American term equivalent to Welsh dresser. A freestanding kitchen hutch with shelves above and drawers/cabinets below.
Kitchen & Dining,Pie safe,Jelly cupboard*,36–42″W × 18″D × 48–60″H,54 × 38 × 18″,19th-century American food storage cabinet with punched tin ventilation panels in the doors; drawers in the base.
Kitchen & Dining,Jelly cupboard,Pie safe*,30–36″W × 16″D × 48–54″H,50 × 32 × 16″,Simple country cabinet with one or two doors and drawers; used for storing preserves. Similar to pie safe but without tin panels.
Kitchen & Dining,Pantry cupboard,Step-back cupboard*,36–48″W × 18″D × 72–84″H,78 × 42 × 18″,Tall freestanding pantry storage cabinet with doors and drawers; used in kitchens and farmhouses for dry goods.
